qid	competition	timestamp	section	number	original_question	original_answer	original_additional_info
ABC01-01-0013	abc ～the first～	2003/03/30	ペーパー筆記	13	ゴルフボールの表面につけられているくぼみのことを何というでしょう？	ディンプル	
ABC01-01-0014	abc ～the first～	2003/03/30	ペーパー筆記	14	別名を『ラ・ジョコンダ』という、レオナルド・ダ・ヴィンチが描いた絵画といえば何でしょう？	『モナ・リザ』	
ABC01-01-0015	abc ～the first～	2003/03/30	ペーパー筆記	15	「東京湾」は２つの半島に囲まれていますが、それは房総半島と何半島でしょう？	三浦半島	
ABC01-01-0016	abc ～the first～	2003/03/30	ペーパー筆記	16	市販の自動車に手を加えて、性能を高めることを英語で何というでしょう？	チューンナップ	
ABC01-01-0017	abc ～the first～	2003/03/30	ペーパー筆記	17	1840年に勃発し、香港がイギリスに割譲される結果に終わった戦争を、原因となった麻薬から何というでしょう？	アヘン戦争 (Opium War)	
ABC01-01-0018	abc ～the first～	2003/03/30	ペーパー筆記	18	気象用語で「平年」といえば、過去何年間の平均値のことでしょう？	30年	
ABC01-01-0019	abc ～the first～	2003/03/30	ペーパー筆記	19	1号は本郷猛、2号は一文字隼人がその正体である、テレビヒーローといえば何でしょう？	仮面ライダー	
ABC01-01-0020	abc ～the first～	2003/03/30	ペーパー筆記	20	日本国憲法に定められている国民の三大義務とは、勤労、教育と何でしょう？	納税	
ABC01-01-0021	abc ～the first～	2003/03/30	ペーパー筆記	21	太棹、中棹、細棹といえば、どんな楽器の種類でしょう？	三味線	
ABC01-01-0022	abc ～the first～	2003/03/30	ペーパー筆記	22	代表作に『日本の黒い霧』や『点と線』などがある、推理作家は誰でしょう？	松本清張	
ABC01-01-0023	abc ～the first～	2003/03/30	ペーパー筆記	23	料理のときに使う計量スプーンで、大さじ１杯といったら通常何ccでしょう？	15cc	
ABC01-01-0024	abc ～the first～	2003/03/30	ペーパー筆記	24	スキー板に靴を取り付けるための締め具のことを何というでしょう？	ビンディング	
ABC01-01-0025	abc ～the first～	2003/03/30	ペーパー筆記	25	オーストラリアの国旗に星は６つありますが、ニュージーランドの国旗には星がいくつあるでしょう？	４つ	
ABC01-01-0026	abc ～the first～	2003/03/30	ペーパー筆記	26	1934年には天然記念物に指定された、学名を「ニッポニア・ニッポン」という鳥といえば何でしょう？	トキ	
ABC01-01-0027	abc ～the first～	2003/03/30	ペーパー筆記	27	火を神聖視するために「拝火教」の別名がある、紀元前６世紀のペルシアで始まった宗教は何教でしょう？	ゾロアスター教	
ABC01-01-0028	abc ～the first～	2003/03/30	ペーパー筆記	28	テレビの視聴率調査における「ゴールデンタイム」とは、午後７時から何時までのことでしょう？	午後１０時	
ABC01-01-0029	abc ～the first～	2003/03/30	ペーパー筆記	29	他には影響を及ぼさない、狭い範囲でのもめ事のことを、「何の中の嵐」というでしょう？	コップ	
ABC01-01-0030	abc ～the first～	2003/03/30	ペーパー筆記	30	７０１年に藤原不比等（ふじわらのふひと）らが長部親王（おさべ）らと共に作り上げた、国家の基本法典を何というでしょう？	大宝律令	
ABC01-01-0031	abc ～the first～	2003/03/30	ペーパー筆記	31	妊娠５ヶ月目の戌（いぬ）の日に体に付ける、胎児を保護するためにする帯を何というでしょう？	岩田帯	
ABC01-01-0032	abc ～the first～	2003/03/30	ペーパー筆記	32	セルバンテスの小説『ドン・キホーテ』で、ドン・キホーテが巨人と間違えて襲いかかったものは何でしょう？	風車	
ABC01-01-0033	abc ～the first～	2003/03/30	ペーパー筆記	33	ボウリングの球の重さを表す単位は何でしょう？	ポンド	
ABC01-01-0034	abc ～the first～	2003/03/30	ペーパー筆記	34	その色合いが鳩の血のように見えることから、最高級のルビーのことを何というでしょう？	ピジョンブラッド	
ABC01-01-0035	abc ～the first～	2003/03/30	ペーパー筆記	35	箱根や富士などの火山から噴き出した灰が積もって形成された、広く関東地方をおおっている赤い粘土質の地層を何というでしょう？	関東ローム層	
ABC01-01-0036	abc ～the first～	2003/03/30	ペーパー筆記	36	地方から東京へ出ることを「上京」といいますが、地方から京都へ出ることを何といったでしょう？	上洛	
ABC01-01-0037	abc ～the first～	2003/03/30	ペーパー筆記	37	日本の国宝第1号に認定された弥勒菩薩像がある、京都の寺はどこでしょう?	広隆寺	
ABC01-01-0038	abc ～the first～	2003/03/30	ペーパー筆記	38	牛２頭で１日に耕した面積が起源といわれる、ヤード・ポンド法の面積の単位は何でしょう？	エーカー	
ABC01-01-0039	abc ～the first～	2003/03/30	ペーパー筆記	39	『学校』シリーズや、『男はつらいよ』シリーズで知られる映画監督といえば誰でしょう？	山田洋次	
ABC01-01-0040	abc ～the first～	2003/03/30	ペーパー筆記	40	いわゆる「四書五経」の「四書」とは、『大学』『孟子』『論語』と何でしょう？	『中庸』	
ABC01-01-0041	abc ～the first～	2003/03/30	ペーパー筆記	41	春の七草で「すずな」といえば蕪のことですが、「すずしろ」といえば何のことでしょう？	大根	
ABC01-01-0042	abc ～the first～	2003/03/30	ペーパー筆記	42	今年の元日に決勝が行われたサッカー天皇杯で、初優勝を飾ったチームは何でしょう？	京都パープルサンガ	
ABC01-01-0043	abc ～the first～	2003/03/30	ペーパー筆記	43	ことわざ「弘法も筆の誤り」で、弘法大師が間違えたとされる文字は何でしょう？	応	
ABC01-01-0044	abc ～the first～	2003/03/30	ペーパー筆記	44	南米の国、ウルグアイとパラグアイは、共にどこの国の領土から独立したでしょう？	スペイン	
ABC01-01-0045	abc ～the first～	2003/03/30	ペーパー筆記	45	北原白秋作詞の童謡『あわて床屋』の中で、床屋に行ったお客である動物は何でしょう？	ウサギ	
ABC01-01-0046	abc ～the first～	2003/03/30	ペーパー筆記	46	『Tokyo Walker』や『Kansai Walker』などの、「Walker」シリーズを発行している出版社といえばどこでしょう？	角川書店	
ABC01-01-0047	abc ～the first～	2003/03/30	ペーパー筆記	47	50㎞以上250㎞以下の短い路線を運行する「地域航空輸送」を、英語で何というでしょう？	コミューター航空	
ABC01-01-0048	abc ～the first～	2003/03/30	ペーパー筆記	48	ロウソクの炎を3つに分けると外炎、内炎と何でしょう？	炎心	
ABC01-01-0049	abc ～the first～	2003/03/30	ペーパー筆記	49	２つ以上の文字を組み合わせて図案化したもののことで、特にルイ・ヴィトンのものが知られるのは何でしょう？	モノグラム	
ABC01-01-0050	abc ～the first～	2003/03/30	ペーパー筆記	50	東京の落語家で、真打ちと前座の中間にあるランクを何というでしょう？	二ツ目	
ABC01-01-0051	abc ～the first～	2003/03/30	ペーパー筆記	51	大相撲の第６８代横綱・朝青龍は何部屋の力士でしょう？	高砂部屋	
ABC01-01-0052	abc ～the first～	2003/03/30	ペーパー筆記	52	ギリシャ神話で、ろうで固めた翼で空を飛んだものの、太陽の熱でろうが溶けて墜落死したのは誰でしょう？	イカロス	
ABC01-01-0053	abc ～the first～	2003/03/30	ペーパー筆記	53	1924年以降、南アフリカの各地で発見され、ラテン語で「南の猿」という意味の名がつけられた化石人類は何でしょう？	アウストラロピテクス	
ABC01-01-0054	abc ～the first～	2003/03/30	ペーパー筆記	54	デモテープ、デモ行進のデモとは、どんな言葉を略したものでしょう？	デモンストレーション	
ABC01-01-0055	abc ～the first～	2003/03/30	ペーパー筆記	55	この時期を表した俳句「春の海 ひねもすのたり のたりかな」を詠んだ、江戸時代の俳人は誰でしょう？	与謝蕪村	
ABC01-01-0056	abc ～the first～	2003/03/30	ペーパー筆記	56	ロシアの作曲家、チャイコフスキーの三大バレエ音楽といえば、『白鳥の湖』『くるみ割り人形』と何でしょう？	『眠れる森の美女』	
ABC01-01-0057	abc ～the first～	2003/03/30	ペーパー筆記	57	ロイターといえばイギリスの通信社ですが、ＡＦＰといえばどこの国の通信社でしょう？	フランス	
ABC01-01-0058	abc ～the first～	2003/03/30	ペーパー筆記	58	ジャムやマーマレードを入れて飲む紅茶の飲み方を、ある国の名を取って何ティーというでしょう？	ロシアンティー	
ABC01-01-0059	abc ～the first～	2003/03/30	ペーパー筆記	59	オリンピックの五輪の旗で、真ん中にある輪の色は何色でしょう？	黒	
ABC01-01-0060	abc ～the first～	2003/03/30	ペーパー筆記	60	太陽系の惑星の中で衛星をもっていない2つの惑星とは、水星と何でしょう？	金星	
ABC01-01-0061	abc ～the first～	2003/03/30	ペーパー筆記	61	ＡＢＢＡのヒットソングに綴ってストーリーが展開される、電通四季劇場「海」で公開中の劇団四季のミュージカルは何でしょう？	『マンマ・ミーア！』	
ABC01-01-0062	abc ～the first～	2003/03/30	ペーパー筆記	62	エレベーターで使われる記号で、屋上を示す「Ｒ」はルーフの略ですが、地下を示す「Ｂ」はどんな単語の頭文字でしょう？（カタカナ可）	ベースメント	
ABC01-01-0063	abc ～the first～	2003/03/30	ペーパー筆記	63	インドではイギリスが東インド会社を設立し、日本では関ケ原の戦いの火ぶたが切って落とされたのは、西暦何年のことでしょう？	1600年	
ABC01-01-0064	abc ～the first～	2003/03/30	ペーパー筆記	64	とっくりを持ったタヌキの置物が有名な、滋賀県の焼物といえば何でしょう？	信楽（しがらき）焼	
ABC01-01-0065	abc ～the first～	2003/03/30	ペーパー筆記	65	日本では上松美香（あげまつみか）がその演奏者として知られている、「インディアンハープ」とも言われる民族楽器は何でしょう？	アルパ	
ABC01-01-0066	abc ～the first～	2003/03/30	ペーパー筆記	66	アメリカのブッシュ (George Walker Bush) 現大統領が昨年の一般教書演説で使って以来広まった、イラン・北朝鮮・イラクの批判的な総称は何でしょう？	悪の枢軸 (Axis of Evil)	
ABC01-01-0067	abc ～the first～	2003/03/30	ペーパー筆記	67	木下順二の戯曲『夕鶴』で、助けた鶴の化身・つうと結婚する男の名前は何でしょう？	与ひょう	
ABC01-01-0068	abc ～the first～	2003/03/30	ペーパー筆記	68	幾つかの布切れを縫いあわせ、飾りや模様を作る手芸方法を何というでしょう？	パッチワーク	
ABC01-01-0069	abc ～the first～	2003/03/30	ペーパー筆記	69	紫外線ＵＶ－Ｂの作用によって起こる、皮膚が褐色になる健康的な日焼けを英語で何というでしょう？	サンタン	
ABC01-01-0070	abc ～the first～	2003/03/30	ペーパー筆記	70	アメリカ合衆国で、一番面積が広い州はアラスカ州ですが、一番面積が狭い州はどこでしょう?	ロードアイランド州	
ABC01-01-0071	abc ～the first～	2003/03/30	ペーパー筆記	71	フェンシングの試合場のことを何というでしょう?	ピスト	
ABC01-01-0072	abc ～the first～	2003/03/30	ペーパー筆記	72	主著に『純粋理性批判』『実践理性批判』がある、ドイツ観念論の創始者である哲学者といえば誰でしょう?	イマニュエル・カント	
ABC01-01-0073	abc ～the first～	2003/03/30	ペーパー筆記	73	態度や意見ががらりと変わってしまうことを、ある動物の斑紋が季節によって鮮やかに変わることから何というでしょう？	豹変	
ABC01-01-0074	abc ～the first～	2003/03/30	ペーパー筆記	74	英語の『ドレミの歌』の歌詞で、「自分を呼ぶ名前」と歌われている音は何でしょう？	ミ（Ｍｅ、Ｍｉ）	
ABC01-01-0075	abc ～the first～	2003/03/30	ペーパー筆記	75	今年秋に開幕する、ラグビーの社会人１２チームによる全国規模のリーグ戦を何というでしょう？	（ジャパンラグビー）トップリーグ	
ABC01-01-0076	abc ～the first～	2003/03/30	ペーパー筆記	76	イスラム文化で用いられた、植物の茎や葉を組み合わせて作った幾何学文様や唐草文様を何というでしょう？	アラベスク	
ABC01-01-0077	abc ～the first～	2003/03/30	ペーパー筆記	77	「郵政三事業の民営化」などというときの「三事業」とは、「郵便」「貯金」とあと１つは何でしょう？	簡易保険（保険は×）	
ABC01-01-0078	abc ～the first～	2003/03/30	ペーパー筆記	78	主に夏の夜に行われる､まきを焚いて野外で行う能のことを何というでしょう？	薪能(たきぎのう)	
ABC01-01-0079	abc ～the first～	2003/03/30	ペーパー筆記	79	大きな火皿を持ち、吸い口までが湾曲したパイプを、船乗りがよく使ったことから何パイプというでしょう？	マドロスパイプ	
ABC01-01-0080	abc ～the first～	2003/03/30	ペーパー筆記	80	青銅といえば銅と錫の合金ですが、黄銅は銅と何との合金でしょう？	亜鉛	
ABC01-01-0081	abc ～the first～	2003/03/30	ペーパー筆記	81	江戸時代の村役人で「村方三役」と呼ばれたのは、庄屋、組頭とあと一つは何でしょう？	百姓代	
ABC01-01-0082	abc ～the first～	2003/03/30	ペーパー筆記	82	ハクチョウを県の鳥にしている２つの県といえば、青森県とどこでしょう？	島根県	
ABC01-01-0083	abc ～the first～	2003/03/30	ペーパー筆記	83	ずばり、卓球は1セット何点先取でしょう？	11点（昨年よりルール改正）	
ABC01-01-0084	abc ～the first～	2003/03/30	ペーパー筆記	84	ＪＩＳ規格のキーボードでのタッチタイピングで、人差し指を置く基本となるキーは「Ｆ」と何でしょう？	Ｊ	
ABC01-01-0085	abc ～the first～	2003/03/30	ペーパー筆記	85	映画『ロッキー』で、女優タリア・シャイアが演じた、ロッキーの妻の名前は何でしょう？	エイドリアン	
ABC01-01-0086	abc ～the first～	2003/03/30	ペーパー筆記	86	インクのしみを落として作った左右対称の図形が何に見えるかで診断する人格検査法を、スイスの精神医学者の名前を取って何テストというでしょう？	ロールシャッハ・テスト	
ABC01-01-0087	abc ～the first～	2003/03/30	ペーパー筆記	87	「行く河の流れは絶えずして、しかも元の水にあらず」という書き出しの、鴨長明の随筆といえば何でしょう？	『方丈記』	
ABC01-01-0088	abc ～the first～	2003/03/30	ペーパー筆記	88	嵐、アルフィー、ミスターチルドレンの３つのグループのメンバーに共通する名字は何でしょう？	桜井	
ABC01-01-0089	abc ～the first～	2003/03/30	ペーパー筆記	89	立秋の後の暑さを「残暑」といいますが、立春の後の寒さのことを何というでしょう？	余寒	
ABC01-01-0090	abc ～the first～	2003/03/30	ペーパー筆記	90	出世魚ボラの成長しきった時の名に因んだ、結局のところ、という意味の言葉は何でしょう？	とどのつまり	
ABC01-01-0091	abc ～the first～	2003/03/30	ペーパー筆記	91	カジノのルーレットにある数字の中で、最大の数字はいくつでしょう？	36	
ABC01-01-0092	abc ～the first～	2003/03/30	ペーパー筆記	92	フォークボールを武器に通算215勝を挙げ、｢フォークボールの神様｣の異名を取った中日の投手は誰でしょう？	杉下茂	
ABC01-01-0093	abc ～the first～	2003/03/30	ペーパー筆記	93	チベットのラサにある、ダライ・ダマが住む宮殿といえば何でしょう？	ポタラ宮	
ABC01-01-0094	abc ～the first～	2003/03/30	ペーパー筆記	94	イギリスで中世の封建制度崩壊と共に現れた独立自営農民のことを何というでしょう？	ヨーマン	
ABC01-01-0095	abc ～the first～	2003/03/30	ペーパー筆記	95	小木博明(おぎ・ひろあき）と矢作兼（やはぎ・けん）の２人が組んでいる、お笑いコンビの名前は何でしょう？	おぎやはぎ	
ABC01-01-0096	abc ～the first～	2003/03/30	ペーパー筆記	96	果物を切る時などに使われる小型のナイフのことを、和製英語で何というでしょう？	ぺティナイフ	
ABC01-01-0097	abc ～the first～	2003/03/30	ペーパー筆記	97	コーヒーはアカネ科の植物ですが、カカオは何科の植物でしょう？	アオギリ科	
ABC01-01-0098	abc ～the first～	2003/03/30	ペーパー筆記	98	デパートの「友の会」で、「クローバーサークル」は伊勢丹ですが、「ローズサークル」といえばどこのデパートでしょう？	高島屋	
ABC01-01-0099	abc ～the first～	2003/03/30	ペーパー筆記	99	オリコンのシングルチャートで初めて「デビュー曲初登場1位」となった、近藤真彦のヒット曲は何でしょう？	『スニーカーぶる～す』	
ABC01-01-0100	abc ～the first～	2003/03/30	ペーパー筆記	100	年に２度収穫できる「二度芋」といえばジャガイモのことですが、年に３度収穫できることから「三度豆」と呼ばれているのは何でしょう？	インゲン豆	
ABC01-02-0001	abc ～the first～	2003/03/30	通常問題	1	太平洋戦争のとき、日本を軍事・経済的に包囲した「ＡＢＣＤライン」の４カ国とは、アメリカ、イギリス、中国とどこの国でしょう？	オランダ	
ABC01-02-0002	abc ～the first～	2003/03/30	通常問題	2	フランス語で「選び出す」という意味がある、社会の指導的立場に立っている人を何というでしょう？	エリート	
ABC01-02-0003	abc ～the first～	2003/03/30	通常問題	3	「人気のバロメーター」などという時の、「バロメーター」とは、本来何を測る器械でしょう？	気圧	
ABC01-02-0004	abc ～the first～	2003/03/30	通常問題	4	313年にローマ皇帝・コンスタンティヌス帝が発した、キリスト教公認令を何というでしょう?	ミラノ勅令	
ABC01-02-0005	abc ～the first～	2003/03/30	通常問題	5	京都・竜安寺の庭園のように、全く水を用いずに石や白砂で「山や水」を表現した、日本庭園の様式を何というでしょう？	枯山水	
ABC01-02-0006	abc ～the first～	2003/03/30	通常問題	6	建築工事を始める前に、その土地の神様をまつり、工事の無事を祈願する儀式を何というでしょう？	地鎮祭	
ABC01-02-0007	abc ～the first～	2003/03/30	通常問題	7	１９８９年の参議院選挙で土井たか子率いる日本社会党が躍進したことを、当選者に女性が多く含まれていたことから何旋風といったでしょう？	マドンナ旋風	
ABC01-02-0008	abc ～the first～	2003/03/30	通常問題	8	交響曲第五番『運命』といえばベートーベンですが、交響曲第五番『革命』で知られるロシアの作曲家は誰でしょう？	ショスターコービッチ	
ABC01-02-0009	abc ～the first～	2003/03/30	通常問題	9	オーストリアの物理学者の名前から付けられた、音速を表す単位といったら何でしょう？	マッハ	
ABC01-02-0010	abc ～the first～	2003/03/30	通常問題	10	九州地方で最も面積の大きい県は鹿児島県ですが、東北地方で最も面積の大きい県は何県でしょう？	岩手県	
ABC01-02-0011	abc ～the first～	2003/03/30	通常問題	11	ハンドボールで、宙に跳んで浮いている間にパスを受け、シュートすることを何というでしょう？	スカイプレー	
ABC01-02-0012	abc ～the first～	2003/03/30	通常問題	12	昭和４７年に『パチンコ』という作品でデビューした、タレントとしても活躍する漫画家は誰でしょう？	蛭子能収	
ABC01-02-0013	abc ～the first～	2003/03/30	通常問題	13	わが国では独占禁止法で制限されている、競争関係にある同種の企業が価格などで競争を回避するために結ぶ協定のことを何というでしょう？	カルテル（企業連合）	
ABC01-02-0014	abc ～the first～	2003/03/30	通常問題	14	地表面を上空から見下ろすように描いた図を鳥瞰図というのに対し､ 地表から見上げるように描いた図を、両生類に喩えて何というでしょう？	蛙瞰図(あかんず)	
ABC01-02-0015	abc ～the first～	2003/03/30	通常問題	15	相撲で、実力以上の番付にいて苦戦することを「何が高い」というでしょう？	家賃が高い	
ABC01-02-0016	abc ～the first～	2003/03/30	通常問題	16	シャクトリムシはシャクガの幼虫ですが、ミノムシは何という昆虫の幼虫でしょう？	ミノガ	
ABC01-02-0017	abc ～the first～	2003/03/30	通常問題	17	シアトルに本社を置く、世界最大のオンライン書店は何でしょう？	Amazon.com	
ABC01-02-0018	abc ～the first～	2003/03/30	通常問題	18	世界七不思議のひとつ・ファロス島の灯台があったといわれている、クレオパトラ統治時代の首都だったエジプトの都市はどこでしょう?	アレクサンドリア	
ABC01-02-0019	abc ～the first～	2003/03/30	通常問題	19	グリニッジ標準時で０時のとき、日本では何時になっているでしょう？	（午前）９時	
ABC01-02-0020	abc ～the first～	2003/03/30	通常問題	20	録画予約に用いる「Ｇコード」のＧとは何という言葉の略でしょう？	ジェムスター	
ABC01-02-0021	abc ～the first～	2003/03/30	通常問題	21	シナモン、クローブ、ナツメグの三つの香りを合わせた風味を持つとされる事から名のついた香辛料は何でしょう？	オールスパイス	
ABC01-02-0022	abc ～the first～	2003/03/30	通常問題	22	登山ブームのきっかけとなった山岳紀行集「日本百名山」などの著作で知られる作家は誰でしょう？	深田久弥	
ABC01-02-0023	abc ～the first～	2003/03/30	通常問題	23	スペインの闘牛で、マタドールがウシを誘うのに使う、棒に巻いた赤い布を何というでしょう？	ムレタ	
ABC01-02-0024	abc ～the first～	2003/03/30	通常問題	24	ネコ、ネズミ、ノコギリなどの種類のある魚は何でしょう？	サメ	
ABC01-02-0025	abc ～the first～	2003/03/30	通常問題	25	動詞の活用形で、「クイズで飛ぶ」の「飛ぶ」は五段活用ですが、「クイズをする」の「する」の活用は何でしょう？	サ行変格活用	
ABC01-02-0026	abc ～the first～	2003/03/30	通常問題	26	キトラ古墳、高松塚古墳、石舞台古墳など、至るところに古墳や史跡があることで知られる奈良県の村はどこでしょう？	明日香村	
ABC01-02-0027	abc ～the first～	2003/03/30	通常問題	27	お嫁入りする女性の気持ちを歌った、熊本県を代表する民謡といえば何でしょう？	『おてもやん』	
ABC01-02-0028	abc ～the first～	2003/03/30	通常問題	28	『水の中のナイフ』『ローズマリーの赤ちゃん』そして現在公開中の『戦場のピアニスト』などの作品で知られる、ポーランド生まれの映画監督といえば誰でしょう？	ロマン・ポランスキー	
ABC01-02-0029	abc ～the first～	2003/03/30	通常問題	29	煮立てた豆乳の表面にできた膜を乾燥させて作る、日光名物の食べ物は何でしょう？	湯葉	
ABC01-02-0030	abc ～the first～	2003/03/30	通常問題	30	これまでに二度映画化された小説「ビルマの竪琴」の作者は誰でしょう？	竹山道雄	
ABC01-02-0031	abc ～the first～	2003/03/30	通常問題	31	昭和29年に行われたわが国初のプロレスの国際試合で、力道山・木村政彦組と対戦したのは「何兄弟」でしょう？	シャープ兄弟	
ABC01-02-0032	abc ～the first～	2003/03/30	通常問題	32	ウィリアム・ハンナとジョセフ・バーバラにより生み出された、いつもケンカばかりしているネコとネズミのコンビといえば「何と何」でしょう？	トムとジェリー	
ABC01-02-0033	abc ～the first～	2003/03/30	通常問題	33	「精神現象学」などの著書で知られる、弁証法を確立したドイツの古典哲学者は誰でしょう？	ヘーゲル	
ABC01-02-0034	abc ～the first～	2003/03/30	通常問題	34	チベット高原の雪解け水を源流とする全長約4400kmの川で、ラオスとタイの国境を流れているのは何でしょう？	メコン川	
ABC01-02-0035	abc ～the first～	2003/03/30	通常問題	35	約６００ｇを１とする、食パンの重さの単位としてよく用いられる重量の単位は何でしょう？	斤	
ABC01-02-0036	abc ～the first～	2003/03/30	通常問題	36	江戸時代、わらじが非常に安く売られていたことに由来する、数が多くて極めて安いことを意味する四字熟語は何でしょう？	二束三文	
ABC01-02-0037	abc ～the first～	2003/03/30	通常問題	37	日本語では「鉄梃（かなてこ）」という建築用具で、その性能ゆえに悪用されることが多く、犯罪報道などではよく「これのようなものでこじ開けられた」と形容されるものは何でしょう？	バール	
ABC01-02-0038	abc ～the first～	2003/03/30	通常問題	38	江戸時代、大名や将軍のお抱えの医者のことを何といったでしょう？	御典医	
ABC01-02-0039	abc ～the first～	2003/03/30	通常問題	39	ボートのエイト競技で、ボートに乗るのは何人でしょう？	９人	
ABC01-02-0040	abc ～the first～	2003/03/30	通常問題	40	つくしの茎に間隔をおいて生えているギザギザした葉のことを、ある和服にちなんで何というでしょう？	はかま	
ABC01-02-0041	abc ～the first～	2003/03/30	通常問題	41	人を奮い立たせる、という意味の言葉で、「檄」は「飛ばす」と言いますが、「発破」はどうする、というでしょう？	掛ける	
ABC01-02-0042	abc ～the first～	2003/03/30	通常問題	42	多くの船や飛行機が行方不明になっている北大西洋西部の三角海域を、ある島の名を使って何というでしょう？	バミューダ海域（トライアングル）	
ABC01-02-0043	abc ～the first～	2003/03/30	通常問題	43	竹で作られ、長さが「一尺八寸」であることからその名が付いた楽器といったら何でしょう？	尺八	
ABC01-02-0044	abc ～the first～	2003/03/30	通常問題	44	映画の撮影が始まることをクランクインというのに対し､すべての撮影が終わることを何というでしょう？	クランクアップ	
ABC01-02-0045	abc ～the first～	2003/03/30	通常問題	45	野菜などを普通の畑で栽培する方法を、温室栽培に対して何というでしょう？	露地栽培	
ABC01-02-0046	abc ～the first～	2003/03/30	通常問題	46	村上春樹の小説『海辺のカフカ』で、主人公の15歳の少年カフカの苗字は何でしょう？	田村	
ABC01-02-0047	abc ～the first～	2003/03/30	通常問題	47	1891年にアメリカのネイスミスによって考案された、日本では「篭球（ろうきゅう）」というスポーツは何でしょう？	バスケットボール	
ABC01-02-0048	abc ～the first～	2003/03/30	通常問題	48	自動車で、タイヤの左右の間隔をトレッドといいますが、前後の間隔のことを何というでしょう？	ホイールベース	
ABC01-02-0049	abc ～the first～	2003/03/30	通常問題	49	古代ローマの将軍ファビウスにちなんで名付けられた、イギリスの漸進的社会主義団体は何でしょう？	フェビアン協会	
ABC01-02-0050	abc ～the first～	2003/03/30	通常問題	50	五千円札の裏に描かれている「逆さ富士」が写っているのは、何という湖でしょう？	本栖湖	
ABC01-02-0051	abc ～the first～	2003/03/30	通常問題	51	おおいぬ座のアルファ星はシリウスですが、こいぬ座のアルファ星は何でしょう？	プロキオン	
ABC01-02-0052	abc ～the first～	2003/03/30	通常問題	52	いつまでも結論の出ない会議のことを、北条氏が豊臣秀吉に攻められた際の故事から何というでしょう？	小田原評定	
ABC01-02-0053	abc ～the first～	2003/03/30	通常問題	53	コップの下に敷くのはコースターですが、湯呑み茶碗に敷くものは何というでしょう？	茶托	
ABC01-02-0054	abc ～the first～	2003/03/30	通常問題	54	弥生時代から古墳時代にかけて大陸から日本に渡り、さまざまな技術や文化をわが国にもたらした人々のことを何というでしょう？	渡来人	
ABC01-02-0055	abc ～the first～	2003/03/30	通常問題	55	高校野球で、春の選抜大会の主催は毎日新聞社ですが、夏の選手権大会を主催する新聞社はどこでしょう?	朝日新聞社	
ABC01-02-0056	abc ～the first～	2003/03/30	通常問題	56	冬至の日に太陽が通ることから「冬至線」とも呼ばれる、地球上の南緯23度27分の地点を連ねた線を何というでしょう？	南回帰線	
ABC01-02-0057	abc ～the first～	2003/03/30	通常問題	57	閣議に関する事項のまとめ役であり、同時に総理大臣のスポークスマンを務める内閣のポストは何でしょう？	（内閣）官房長官	
ABC01-02-0058	abc ～the first～	2003/03/30	通常問題	58	大西洋と地中海を結ぶ海峡は何海峡でしょう？	ジブラルタル海峡	
ABC01-02-0059	abc ～the first～	2003/03/30	通常問題	59	海底において、沈んでくるプランクトンの死骸がかすかな光に照らされて白く見える現象を、ある天気のように見えることから何というでしょう？	マリンスノー	
